xmin,ymin,xmax,ymax,confidence,class,name,time
1.0,74.0,154.0,208.0,0.43890511989593506,62,tv,1
1.0,75.0,152.0,210.0,0.4100247025489807,62,tv,2
1.0,75.0,149.0,209.0,0.40803438425064087,62,tv,3
2.0,74.0,147.0,209.0,0.31250837445259094,62,tv,4
1.0,73.0,146.0,209.0,0.31871211528778076,62,tv,5
1.0,73.0,148.0,208.0,0.33079391717910767,62,tv,6
1.0,73.0,147.0,207.0,0.32530397176742554,62,tv,7
2.0,72.0,149.0,205.0,0.28382670879364014,62,tv,8
1.0,74.0,147.0,204.0,0.33876699209213257,62,tv,13
1.0,75.0,148.0,204.0,0.2850463092327118,62,tv,14
1.0,74.0,147.0,204.0,0.259901225566864,62,tv,15
1.0,73.0,146.0,202.0,0.2716013789176941,62,tv,25
1.0,73.0,146.0,202.0,0.2807212769985199,62,tv,26
2.0,74.0,146.0,203.0,0.25260862708091736,62,tv,27
2.0,75.0,150.0,204.0,0.3179799020290375,62,tv,37
2.0,77.0,149.0,203.0,0.298648476600647,62,tv,38
1.0,76.0,152.0,203.0,0.26308563351631165,62,tv,39
2.0,76.0,154.0,209.0,0.31601935625076294,62,tv,49
132.0,1.0,255.0,204.0,0.33054766058921814,58,potted plant,49
1.0,68.0,152.0,206.0,0.25937020778656006,62,tv,50
131.0,1.0,255.0,205.0,0.3169043958187103,58,potted plant,50
1.0,68.0,151.0,206.0,0.2529183030128479,62,tv,51
131.0,1.0,256.0,206.0,0.29186585545539856,58,potted plant,51
2.0,77.0,153.0,211.0,0.25122788548469543,62,tv,52
132.0,1.0,256.0,208.0,0.3115694522857666,58,potted plant,52
131.0,1.0,256.0,209.0,0.2812250256538391,58,potted plant,53
132.0,1.0,254.0,207.0,0.26133933663368225,58,potted plant,54
130.0,2.0,255.0,209.0,0.2687385380268097,58,potted plant,55
132.0,2.0,254.0,210.0,0.28425586223602295,58,potted plant,56
131.0,1.0,255.0,209.0,0.2721503973007202,58,potted plant,57
130.0,1.0,256.0,211.0,0.28470149636268616,58,potted plant,58
3.0,90.0,175.0,226.0,0.252684086561203,62,tv,91
2.0,89.0,167.0,226.0,0.2915321886539459,62,tv,109
1.0,71.0,156.0,219.0,0.25729936361312866,62,tv,129
6.0,0.0,259.0,223.0,0.2595721185207367,58,potted plant,129
1.0,70.0,156.0,218.0,0.2640620172023773,62,tv,130
1.0,70.0,155.0,217.0,0.30073246359825134,62,tv,131
1.0,70.0,155.0,218.0,0.3203359544277191,62,tv,132
1.0,73.0,156.0,213.0,0.2586940824985504,62,tv,133
1.0,66.0,150.0,212.0,0.3546983599662781,62,tv,145
1.0,66.0,149.0,211.0,0.31753864884376526,62,tv,146
2.0,66.0,151.0,210.0,0.32932576537132263,62,tv,147
2.0,68.0,151.0,210.0,0.31869208812713623,62,tv,148
2.0,66.0,150.0,209.0,0.29922744631767273,62,tv,149
2.0,64.0,148.0,210.0,0.34978044033050537,62,tv,150
167.0,301.0,247.0,438.0,0.27681589126586914,77,teddy bear,151
2.0,64.0,148.0,209.0,0.33435672521591187,62,tv,151
167.0,300.0,246.0,438.0,0.3376636207103729,77,teddy bear,152
2.0,65.0,145.0,209.0,0.390085905790329,62,tv,152
166.0,299.0,247.0,436.0,0.2988341450691223,77,teddy bear,153
2.0,64.0,144.0,209.0,0.4334336519241333,62,tv,153
1.0,64.0,144.0,208.0,0.45961058139801025,62,tv,154
2.0,64.0,144.0,208.0,0.37502220273017883,62,tv,155
165.0,299.0,247.0,437.0,0.254536509513855,77,teddy bear,156
1.0,64.0,142.0,208.0,0.36207059025764465,62,tv,156
120.0,2.0,257.0,200.0,0.32933327555656433,58,potted plant,157
1.0,52.0,148.0,204.0,0.3376902937889099,62,tv,157
166.0,298.0,248.0,434.0,0.25068339705467224,77,teddy bear,158
116.0,2.0,258.0,200.0,0.3247791826725006,58,potted plant,158
2.0,61.0,145.0,207.0,0.37062913179397583,62,tv,158
0.0,51.0,147.0,202.0,0.31633222103118896,62,tv,159
112.0,2.0,257.0,201.0,0.3386501967906952,58,potted plant,159
0.0,52.0,146.0,202.0,0.32514888048171997,62,tv,160
100.0,2.0,258.0,200.0,0.32748082280158997,58,potted plant,160
91.0,2.0,258.0,199.0,0.305462121963501,58,potted plant,161
0.0,53.0,146.0,201.0,0.37161439657211304,62,tv,161
96.0,2.0,258.0,199.0,0.31601807475090027,58,potted plant,162
0.0,53.0,146.0,201.0,0.3983986973762512,62,tv,162
84.0,2.0,257.0,199.0,0.3086128532886505,58,potted plant,163
0.0,53.0,146.0,200.0,0.4071095585823059,62,tv,163
79.0,1.0,256.0,198.0,0.3018433749675751,58,potted plant,164
0.0,55.0,146.0,196.0,0.4261862635612488,62,tv,164
242.0,327.0,343.0,451.0,0.2818799614906311,0,person,165
81.0,1.0,257.0,198.0,0.30912157893180847,58,potted plant,165
0.0,56.0,145.0,192.0,0.46974700689315796,62,tv,165
65.0,1.0,257.0,198.0,0.29650482535362244,58,potted plant,166
0.0,58.0,144.0,192.0,0.46362563967704773,62,tv,166
27.0,0.0,257.0,198.0,0.30765026807785034,58,potted plant,167
0.0,56.0,144.0,194.0,0.4854672849178314,62,tv,167
57.0,1.0,257.0,199.0,0.3046795725822449,58,potted plant,168
0.0,55.0,144.0,191.0,0.4759273827075958,62,tv,168
120.0,2.0,257.0,199.0,0.4018668234348297,58,potted plant,169
0.0,54.0,145.0,185.0,0.510822594165802,62,tv,169
114.0,1.0,257.0,198.0,0.381016343832016,58,potted plant,170
2.0,48.0,146.0,201.0,0.47453737258911133,62,tv,170
118.0,2.0,258.0,198.0,0.4122142195701599,58,potted plant,171
2.0,50.0,146.0,200.0,0.4499506950378418,62,tv,171
113.0,2.0,258.0,198.0,0.3798676133155823,58,potted plant,172
2.0,50.0,145.0,199.0,0.423513263463974,62,tv,172
92.0,2.0,257.0,199.0,0.34475237131118774,58,potted plant,173
0.0,51.0,145.0,199.0,0.4620065987110138,62,tv,173
82.0,2.0,256.0,199.0,0.32404738664627075,58,potted plant,174
0.0,50.0,144.0,200.0,0.4178701639175415,62,tv,174
82.0,2.0,256.0,198.0,0.3110329806804657,58,potted plant,175
0.0,52.0,145.0,199.0,0.4599874019622803,62,tv,175
87.0,2.0,256.0,199.0,0.3196396827697754,58,potted plant,176
0.0,50.0,145.0,198.0,0.4621744453907013,62,tv,176
83.0,2.0,257.0,199.0,0.3138815760612488,58,potted plant,177
0.0,51.0,145.0,197.0,0.4392249882221222,62,tv,177
22.0,0.0,257.0,199.0,0.3055289089679718,58,potted plant,178
0.0,53.0,144.0,196.0,0.44029757380485535,62,tv,178
20.0,0.0,257.0,199.0,0.330364465713501,58,potted plant,179
0.0,53.0,144.0,196.0,0.4510504901409149,62,tv,179
20.0,0.0,259.0,198.0,0.36512258648872375,58,potted plant,180
0.0,49.0,145.0,184.0,0.4427746534347534,62,tv,180
219.0,328.0,325.0,473.0,0.27175194025039673,16,dog,181
164.0,293.0,248.0,474.0,0.37701600790023804,16,dog,181
98.0,1.0,258.0,198.0,0.433036744594574,58,potted plant,181
0.0,40.0,147.0,193.0,0.464859277009964,62,tv,181
164.0,293.0,248.0,474.0,0.2537088692188263,16,dog,182
84.0,1.0,258.0,199.0,0.3951570391654968,58,potted plant,182
0.0,42.0,147.0,190.0,0.4667724370956421,62,tv,182
163.0,292.0,247.0,475.0,0.2547028660774231,16,dog,183
61.0,1.0,258.0,198.0,0.358237624168396,58,potted plant,183
0.0,40.0,147.0,191.0,0.4360084533691406,62,tv,183
163.0,292.0,247.0,474.0,0.34922873973846436,16,dog,184
68.0,2.0,257.0,198.0,0.3652983009815216,58,potted plant,184
0.0,34.0,147.0,193.0,0.4256940186023712,62,tv,184
163.0,292.0,248.0,475.0,0.37280112504959106,16,dog,185
77.0,2.0,258.0,198.0,0.3970019221305847,58,potted plant,185
0.0,31.0,148.0,192.0,0.4430408477783203,62,tv,185
164.0,292.0,248.0,475.0,0.3702654242515564,16,dog,186
82.0,1.0,259.0,198.0,0.3985757827758789,58,potted plant,186
0.0,24.0,147.0,198.0,0.4469303786754608,62,tv,186
164.0,292.0,248.0,474.0,0.33835920691490173,16,dog,187
74.0,2.0,259.0,197.0,0.4048166573047638,58,potted plant,187
0.0,34.0,147.0,192.0,0.4346299469470978,62,tv,187
164.0,292.0,249.0,476.0,0.26870015263557434,16,dog,188
53.0,2.0,260.0,197.0,0.36812999844551086,58,potted plant,188
0.0,13.0,149.0,196.0,0.39223402738571167,62,tv,188
20.0,0.0,260.0,199.0,0.38858461380004883,58,potted plant,189
0.0,16.0,148.0,196.0,0.4074472188949585,62,tv,189
55.0,1.0,260.0,198.0,0.37555447220802307,58,potted plant,190
0.0,20.0,148.0,194.0,0.4219575524330139,62,tv,190
53.0,1.0,261.0,198.0,0.38336053490638733,58,potted plant,191
0.0,30.0,150.0,190.0,0.4286872148513794,62,tv,191
57.0,1.0,260.0,197.0,0.3902682662010193,58,potted plant,192
0.0,11.0,150.0,194.0,0.4177035391330719,62,tv,192
94.0,1.0,259.0,197.0,0.4135728180408478,58,potted plant,193
0.0,31.0,147.0,196.0,0.42975467443466187,62,tv,193
90.0,1.0,259.0,197.0,0.393658310174942,58,potted plant,194
0.0,44.0,147.0,196.0,0.47640588879585266,62,tv,194
81.0,1.0,259.0,197.0,0.3874874711036682,58,potted plant,195
0.0,40.0,147.0,198.0,0.43802475929260254,62,tv,195
165.0,291.0,254.0,472.0,0.28064170479774475,16,dog,196
98.0,1.0,260.0,197.0,0.4325851798057556,58,potted plant,196
0.0,40.0,147.0,195.0,0.440954327583313,62,tv,196
94.0,1.0,260.0,196.0,0.39789360761642456,58,potted plant,197
0.0,40.0,147.0,195.0,0.4273965358734131,62,tv,197
165.0,291.0,326.0,491.0,0.2825841009616852,16,dog,198
77.0,1.0,260.0,196.0,0.39794987440109253,58,potted plant,198
2.0,48.0,148.0,200.0,0.4268379211425781,62,tv,198
164.0,292.0,325.0,491.0,0.2577510476112366,16,dog,199
71.0,1.0,260.0,197.0,0.3915354311466217,58,potted plant,199
0.0,42.0,147.0,195.0,0.43398699164390564,62,tv,199
